column,human_readable,description
ckpt,Checkpoint path,"Path to the run’s .pth.tar checkpoint."
whh_type,Hidden-weight init type,"Recurrent init family {none, cent, cent-cyc, shifted, shifted-cyc, identity, shift, shift-cyc}."
whh_norm,Hidden-weight normalization,"Normalization directory used for the init {raw, frobenius}."
alpha,Symmetry mix α,"Mixing ratio (0–1) used for shifted/shift variants; None/blank otherwise."
hidden_n,Hidden size,"Number of hidden units."
seed,Seed,"Base RNG seed used for the run."
pred,Prediction mode flag,"If nonzero, training used one-step prediction (t→t+1)."
run_tag,Run tag,"User-supplied tag appended to output filenames."
epochs_logged,Epochs logged,"Number of epochs in the saved loss curve."
last_epoch,Last epoch index,"Zero-based index of final epoch."
last_loss,Final loss,"MSE at the last epoch."
best_epoch,Best epoch index,"Epoch index (argmin) of the loss curve."
best_loss,Best loss,"Minimum loss attained during training."
conv_epoch_110pct,Convergence epoch (≤110% min),"First epoch where loss ≤ 1.10 × best_loss; proxy for convergence speed."
loss_auc,Loss AUC,"Area under the loss curve (trapezoidal rule); lower suggests faster optimization."
grad_global_L2_pre,Grad L2 (pre-clip/mask),"Global L2 norm of gradients before clipping/masking at last snapshot."
grad_global_L2_post,Grad L2 (post-clip/mask),"Global L2 norm of gradients after clipping/masking at last snapshot."
grad_global_RMS_pre,Grad RMS (pre-clip/mask),"Global RMS grad magnitude before clipping/masking at last snapshot."
grad_global_RMS_post,Grad RMS (post-clip/mask),"Global RMS grad magnitude after clipping/masking at last snapshot."
h_mean,Hidden mean,"Mean of hidden activations (last snapshot; batch×time×units)."
h_std,Hidden std,"Std of hidden activations (last snapshot; unbiased=False)."
h_sat_ratio,Saturation ratio,"Fraction |h|≥0.95 (tanh) at last snapshot; None if ReLU mode."
h_energy_L2_mean,Hidden L2 energy (per step),"Mean per-time-step L2 norm of hidden state (last snapshot)."
h_lag1_autocorr,Lag-1 autocorr (hidden),"Mean lag-1 autocorrelation across units (last snapshot)."
h_dom_freq_idx,Dominant FFT bin index,"Index of the dominant non-DC RFFT magnitude averaged over batch×units (last snapshot)."
h_participation_ratio,Participation ratio (PCA),"(Σλ)^2 / Σλ^2 from covariance eigenspectrum of hidden states (last snapshot)."
h_ring_decode_R2,R^2 ring decode (hidden),"Linear decode of [cosθ, sinθ] from hidden states; mean R^2 (last snapshot)."
fro_W,||W||_F,"Frobenius norm of recurrent weight W_hh (last snapshot)."
fro_S,||S||_F (symmetric part),"Frobenius norm of S = (W+Wᵀ)/2 (last snapshot)."
fro_A,||A||_F (antisymmetric part),"Frobenius norm of A = (W−Wᵀ)/2 (last snapshot)."
sym_ratio,Symmetry ratio ||S||/||W||,"Fraction of Frobenius energy in the symmetric component (last snapshot)."
asym_ratio,Antisymmetry ratio ||A||/||W||,"Fraction of Frobenius energy in the antisymmetric component (last snapshot)."
mix_A_over_S,Mix A/S,"Relative mix ||A||/||S|| (last snapshot)."
non_normality_commutator,Non-normality (commutator),"|| W Wᵀ − Wᵀ W ||_F (last snapshot)."
fro_drift_W_minus_W0,Drift from init (Frobenius),"||W − W₀||_F (change from initial to current W_hh)."
rel_drift_W_minus_W0,Relative drift,"Frobenius drift normalized by ||W₀||_F."
angle_error_R,Angle error concentration R,"Resultant-length concentration of Δθ between outputs and targets at the snapshot time window."
angle_error_circ_var,Circular variance of angle error,"1 − R (lower is better)."
residual_lag1_autocorr,Residual lag-1 autocorr,"Lag-1 autocorrelation of residual norms at the snapshot time window."
residual_L2_mean,Mean residual L2,"Mean L2 norm of residuals at the snapshot time window."
